time,depth
2023-08-11 17:01:03.276415,352.2213736169945
2023-08-11 17:01:05.288029,351.04925160130784
2023-08-11 17:01:07.278681,349.9481672835415
2023-08-11 17:01:09.277317,348.88260181473544
2023-08-11 17:01:11.277996,347.8880740438498
2023-08-11 17:01:13.277618,346.6804331792029
2023-08-11 17:01:15.276312,345.7569431062376
2023-08-11 17:01:17.290899,344.62033993951115
2023-08-11 17:01:19.277586,343.3416613769439
2023-08-11 17:01:21.277220,342.3471336060582
2023-08-11 17:01:23.277885,341.31708698621236
2023-08-11 17:01:25.276552,340.2515215174062
2023-08-11 17:01:27.277189,338.83076755899816
2023-08-11 17:01:29.287823,337.23241935578903
2023-08-11 17:01:31.276476,336.23789158490337
2023-08-11 17:01:33.278151,335.3854392098585
2023-08-11 17:01:35.277790,334.5685056837738
2023-08-11 17:01:37.277470,332.1532239544801
2023-08-11 17:01:39.288050,330.0576118658281
2023-08-11 17:01:41.277773,327.78440553237516
2023-08-11 17:01:43.277422,326.0439819333252
2023-08-11 17:01:45.278070,324.765303370758
2023-08-11 17:01:47.276730,324.05492639155386
2023-08-11 17:01:49.276331,322.42105933938456
2023-08-11 17:01:51.287985,320.8227111361755
2023-08-11 17:01:53.276678,319.04676868816534
2023-08-11 17:01:55.277308,317.235307391195
2023-08-11 17:01:57.275978,316.38285501615013
2023-08-11 17:01:59.276583,315.8500722817471
2023-08-11 17:02:01.276279,315.4593649431849
2023-08-11 17:02:03.288879,314.25172407853796
2023-08-11 17:02:05.276535,313.11512091181146
2023-08-11 17:02:07.277227,311.800923500284
2023-08-11 17:02:09.276880,310.23809414603505
2023-08-11 17:02:11.277500,308.35559515114437
2023-08-11 17:02:13.277180,306.86380349481584
2023-08-11 17:02:15.287809,305.4430495364077
2023-08-11 17:02:17.277464,304.5195594634425
2023-08-11 17:02:19.277103,303.2408809008752
2023-08-11 17:02:21.275768,301.78460809350685
2023-08-11 17:02:23.276445,300.22177873925796
2023-08-11 17:02:25.287027,298.69446823396925
2023-08-11 17:02:27.286680,297.4868273693224
2023-08-11 17:02:29.276358,295.78192261923266
2023-08-11 17:02:31.277039,294.2190932649837
2023-08-11 17:02:33.276642,292.4786696659338
2023-08-11 17:02:35.277290,290.8803214627247
2023-08-11 17:02:37.287958,289.56612405119716
2023-08-11 17:02:39.276609,287.96777584798804
2023-08-11 17:02:41.276291,286.7601349833412
2023-08-11 17:02:43.276419,285.2683433270127
2023-08-11 17:02:45.277067,283.74103282172393
2023-08-11 17:02:47.276749,282.0006092226741
2023-08-11 17:02:49.287369,280.4732987173853
2023-08-11 17:02:51.277046,279.08806360793744
2023-08-11 17:02:53.276691,277.52523425368855
2023-08-11 17:02:55.277330,276.1755179932008
2023-08-11 17:02:57.277966,274.6126886389519
2023-08-11 17:02:59.286623,273.33401007638463
2023-08-11 17:03:01.275290,271.9487749669367
2023-08-11 17:03:03.277931,270.1728325189266
2023-08-11 17:03:05.276602,268.6100031646777
2023-08-11 17:03:07.276255,267.15373035730937
2023-08-11 17:03:09.287842,265.4843444561798
2023-08-11 17:03:11.276537,263.14010042480646
2023-08-11 17:03:13.277172,261.43519567471674
2023-08-11 17:03:15.276825,260.40514905487083
2023-08-11 17:03:17.277473,259.01991394542296
2023-08-11 17:03:19.288111,257.06637725261186
2023-08-11 17:03:21.276789,254.40246358059667
2023-08-11 17:03:23.276440,251.7740687575417
2023-08-11 17:03:25.277088,250.24675825225296
2023-08-11 17:03:27.276758,248.61289120008365
2023-08-11 17:03:29.275414,245.87793983014805
2023-08-11 17:03:31.288031,243.9954408352573
2023-08-11 17:03:33.277704,241.50912140804311
